nom_centre      codi_centre     places_ofertades        assignacions_en_primera         assignacions_altres     naturalesa
Abat Oliba-Loreto	8004559	75	62	6	Privat
Abat Oliba-Spínola	8010641	46	34	0	Privat
Acis-Artur Martorell	8006945	20	9	1	Privat
Adela de Trenquelleón	8011199	44	41	2	Privat
Alegre	8018340	25	25	0	Privat
Alfageme	8003701	20	17	1	Privat
Aloma	8014358	21	13	7	Privat
Alpes	8018303	22	9	7	Privat
Amor de Déu	8025186	69	50	7	Privat
Amor de Dios	8008531	44	29	2	Privat
Anna Ravell	8003361	21	12	6	Privat
Arrels	8007603	42	41	0	Privat
Arrels-Blanquerna	8001133	25	20	3	Privat
Arrels-Esperança	8000921	100	80	5	Privat
Asunción de Nuestra Señora	8011606	40	15	6	Privat
Augusta	8057084	23	18	1	Privat
Avantis	8063485	118	106	0	Privat
Azorín	8018339	25	18	2	Privat
Badalonès	8000761	66	63	0	Privat
Balaguer	8018777	25	25	0	Privat
Betània-Patmos	8004511	100	63	2	Privat
Betúlia	8000967	22	20	0	Privat
Bon Pastor	8008401	40	18	2	Privat
Canigó	8018406	25	21	2	Privat
Canigó	8003993	88	82	1	Privat
Casal dels Àngels	8018352	60	42	3	Privat
Casp-Sagrat Cor de Jesús	8005199	42	21	2	Privat
Castro de la Peña	8013706	20	11	1	Privat
Claret	8010501	100	62	10	Privat
Closa	8014097	40	23	8	Privat
Cor de Maria-Sabastida	8008361	40	33	3	Privat
Cultural	8000918	44	40	0	Privat
Cultural	8000864	40	33	4	Privat
Cultural Fluvià	8001030	22	17	4	Privat
Decroly	8004316	25	16	1	Privat
Dominiques de l'Ensenyament de Barcelona	8005436	63	44	8	Privat
El Clot	8009260	75	68	3	Privat
El Petit Santa Maria	8051719	23	12	0	Privat
Escola 9 Graons	8075608	42	38	4	Públic
Escola Àgora	8002770	20	16	4	Públic
Escola Aiguamarina	8002484	20	19	1	Públic
Escola Aldana	8077514	44	21	14	Públic
Escola Alexandre Galí	8037814	42	28	3	Públic
Escola Àngels Garriga	8043784	22	11	10	Públic
Escola Anglesola	8075633	44	44	0	Públic
Escola Antoni Balmanya	8043103	45	41	4	Públic
Escola Antoni Botey	8001509	40	40	0	Públic
Escola Antoni Brusi	8033501	40	31	5	Públic
Escola Antoni Gaudí	8035519	40	29	8	Públic
Escola Arc Iris	8009776	22	17	4	Públic
Escola Artur Martorell	8041571	20	19	0	Públic
Escola Auditori	8076078	40	39	1	Públic
Escola Auró	8052670	44	41	3	Públic
Escola Ausiàs March	8028035	20	18	2	Públic
Escola Ausiàs March	8034862	22	16	3	Públic
Escola Bac de Roda	8002873	42	41	1	Públic
Escola Badalona Port	8068331	20	20	0	Públic
Escola Baixeras	8001595	21	11	8	Públic
Escola Baldiri Reixac	8002174	21	20	1	Públic
Escola Baldiri Reixac	8037887	20	20	0	Públic
Escola Baloo	8043747	21	21	0	Públic
Escola Banús	8033341	22	22	0	Públic
Escola Barcelona	8013408	44	36	8	Públic
Escola Bàrkeno	8003695	20	19	1	Públic
Escola Baró de Viver	8002411	20	5	3	Públic
Escola Barrufet	8043796	44	44	0	Públic
Escola Beethoven	8027973	20	18	2	Públic
Escola Bernat Desclot	8034837	22	10	10	Públic
Escola Bernat Metge	8019149	22	21	1	Públic
Escola Bogatell	8035431	40	26	7	Públic
Escola Brasil	8002915	22	17	2	Públic
Escola Bufalà	8061348	40	33	2	Públic
Escola Busquets i Punset	8019216	43	42	0	Públic
Escola Cal Maiol	8002022	22	21	1	Públic
Escola Calderón de la Barca	8002277	40	34	6	Públic
Escola Can Clos	8001674	20	9	2	Públic
Escola Can Fabra	8070234	44	43	1	Públic
Escola Carlit	8043814	21	19	2	Públic
Escola Cartagena	8075611	42	37	5	Públic
Escola Casas	8009171	23	20	3	Públic
Escola Cascavell	8002991	20	15	2	Públic
Escola Castella	8001832	21	20	1	Públic
Escola Catalònia	8035441	44	40	4	Públic
Escola Catalunya	8034989	40	40	0	Públic
Escola Cavall Bernat	8046293	22	22	0	Públic
Escola Cervantes	8001789	21	21	0	Públic
Escola Charlie Rivel	8036378	23	22	1	Públic
Escola Ciutat Comtal	8002320	20	16	2	Públic
Escola Collaso i Gil	8001819	42	37	2	Públic
Escola Concepción Arenal	8002587	19	19	0	Públic
Escola Congrés-Indians	8066516	44	39	5	Públic
Escola De Bosc de Montjuïc	8003491	21	10	11	Públic
Escola de la Concepció	8001807	21	20	1	Públic
Escola de les Aigües	8039835	42	42	0	Públic
Escola del Mar	8010146	20	18	2	Públic
Escola dels Encants	8066462	42	41	1	Públic
Escola Diputació	8001923	44	34	10	Públic
Escola Doctor Ferran i Clua	8039434	44	42	2	Públic
Escola Dolors Monserdà-Santapau	8001716	40	40	0	Públic
Escola Dovella	8044201	23	19	4	Públic
Escola Drassanes	8001856	42	32	1	Públic
Escola Duran i Bas	8002681	44	24	17	Públic
Escola Eduard Marquina	8002599	20	18	3	Públic
Escola El Carmel	8002745	40	27	1	Públic
Escola El Polvorí	8001650	20	6	2	Públic
Escola El Sagrer	8045057	44	44	0	Públic
Escola El Turó	8002344	40	30	10	Públic
Escola Elisenda de Montcada	8002459	40	26	6	Públic
Escola Els Horts	8039483	22	16	1	Públic
Escola Els Llorers	8001911	44	44	0	Públic
Escola Els Pins	8041911	21	21	0	Públic
Escola Els Porxos	8002630	22	13	9	Públic
Escola Els Xiprers	8042329	20	19	1	Públic
Escola Emili Juncadella	8002290	22	8	4	Públic
Escola Enric Granados	8002952	20	13	4	Públic
Escola Entença	8075207	44	41	3	Públic
Escola Ernest Lluch	8067016	44	44	0	Públic
Escola Estel-Guinardó	8046281	21	17	4	Públic
Escola Eulàlia Bota	8060873	44	42	2	Públic
Escola Feliu i Vegués	8000402	20	19	1	Públic
Escola Ferran de Sagarra	8027456	42	31	7	Públic
Escola Ferran Sunyer	8052669	44	43	1	Públic
Escola Ferrer i Guàrdia	8032634	40	35	5	Públic
Escola Fluvià	8066531	40	39	1	Públic
Escola Folch i Torres	8037899	19	18	1	Públic
Escola Font d'en Fargas	8002721	44	20	11	Públic
Escola Fort Pienc	8052657	42	38	4	Públic
Escola Francesc Macià	8002009	44	18	21	Públic
Escola Fray Luis de León	8032300	44	31	2	Públic
Escola Frederic Mistral	8019241	44	14	12	Públic
Escola Fructuós Gelabert	8063072	42	40	2	Públic
Escola Gayarre	8002071	44	40	4	Públic
Escola Gitanjali	8041581	20	20	0	Públic
Escola Heura	8043966	20	15	5	Públic
Escola Ignasi Iglésias	8010912	46	33	13	Públic
Escola Ítaca	8044508	20	20	0	Públic
Escola Ítaca	8043255	44	37	7	Públic
Escola Jaume I	8002061	44	42	2	Públic
Escola Jaume Salvatella	8027985	44	30	9	Públic
Escola Joan Coret	8036135	40	26	7	Públic
Escola Joan Llongueras	8036342	20	20	0	Públic
Escola Joan Maragall	8034266	22	22	0	Públic
